"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-102.57","50.37","BROADVIEW","4010879","1965-01","1965","01","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-102.57","50.37","BROADVIEW","4010879","1965-02","1965","02","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-102.57","50.37","BROADVIEW","4010879","1965-03","1965","03","-8.1","","-20.4","","-14.3","","2.8","","-31.7","","0.0","","10.9","","7.1","","33","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1965-04","1965","04","7.3","","-1.9","","2.7","","25.6","","-6.7","","25.7","","5.3","","30.0","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1965-05","1965","05","16.0","","1.9","","9.0","","25.6","","-4.4","","77.7","","2.3","","79.0","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1965-06","1965","06","21.7","","9.4","","15.6","","30.6","","2.8","","92.7","","0.0","T","92.7","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1965-07","1965","07","24.7","","10.4","","17.6","","29.4","S","1.1","","32.8","","0.0","","32.8","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1965-08","1965","08","24.6","","9.1","","16.9","","36.1","","1.7","","60.7","","0.0","","60.7","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1965-09","1965","09","10.4","","0.1","","5.3","","24.4","","-8.3","","105.4","","34.8","","141.5","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1965-10","1965","10","14.1","","-0.6","","6.8","","21.1","","-6.1","","0.0","T","0.0","","0.0","T","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1965-11","1965","11","-3.4","","-13.2","","-8.3","","20.0","","-26.1","","0.0","T","30.7","","25.1","","18","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1965-12","1965","12","-5.8","","-15.6","","-10.7","","6.7","","-30.6","","0.0","T","22.6","","19.1","","30","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1966-01","1966","01","-20.3","","-32.0","","-26.2","","-3.3","","-45.0","","0.0","","16.5","","13.2","","33","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1966-02","1966","02","-10.2","","-23.1","","-16.7","","1.1","","-40.0","","0.0","","13.0","","8.6","","36","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1966-03","1966","03","0.2","","-10.6","","-5.2","","18.9","","-26.1","","2.0","","7.6","","8.9","","0","T","","","",""
"-102.57","50.37","BROADVIEW","4010879","1966-04","1966","04","4.1","","-4.4","","-0.2","","15.6","","-16.1","","14.2","","36.1","","43.7","","8","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1966-05","1966","05","16.2","","2.2","","9.2","","28.3","S","-5.0","","16.3","","1.3","","17.3","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1966-06","1966","06","21.6","","7.9","","14.8","","31.1","","0.6","S","35.6","","0.0","","35.6","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1966-07","1966","07","25.8","","12.4","","19.1","","34.4","","7.8","S","62.7","","0.0","","62.7","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1966-08","1966","08","22.6","","8.7","","15.7","","32.2","","2.8","","87.4","","0.0","","87.4","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1966-09","1966","09","20.2","","3.8","","12.0","","31.1","","-2.8","","10.2","","0.0","T","10.2","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1966-10","1966","10","10.9","","-2.6","","4.2","","26.7","","-12.2","S","13.5","","0.0","T","13.5","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1966-11","1966","11","-4.2","","-16.2","","-10.2","","5.0","","-29.4","","5.6","","25.9","","26.2","","10","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1966-12","1966","12","-8.0","","-18.0","","-13.0","","2.8","","-32.8","","1.3","","12.4","","8.9","","15","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1967-01","1967","01","-11.9","","-22.4","","-17.2","","2.2","","-37.8","","1.0","","43.4","","33.3","","46","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1967-02","1967","02","-10.6","","-23.9","","-17.3","","2.8","","-38.9","","0.0","T","6.6","","4.6","","33","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1967-03","1967","03","-4.3","","-16.7","","-10.5","","5.6","","-33.9","","11.2","","26.9","","28.4","","8","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1967-04","1967","04","4.6","","-6.3","","-0.9","","13.9","","-18.3","S","2.8","","14.0","","16.3","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1967-05","1967","05","15.7","","1.4","","8.6","","26.1","","-10.0","","21.3","","0.3","","21.6","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1967-06","1967","06","22.1","","7.5","","14.8","","30.0","","0.0","","27.7","","0.0","","27.7","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1967-07","1967","07","26.1","","9.2","","17.7","","33.9","","1.7","","31.8","","0.0","","31.8","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1967-08","1967","08","25.8","","8.3","","17.1","","33.3","","1.1","","33.3","","0.0","","33.3","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1967-09","1967","09","22.9","","6.8","","14.9","","32.2","S","-4.4","S","49.5","","0.0","","49.5","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1967-10","1967","10","8.9","","-0.9","","4.0","","17.2","","-7.8","","25.7","","19.3","","66.0","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1967-11","1967","11","-0.9","","-8.7","","-4.8","","9.4","","-23.3","","5.8","","15.5","","24.9","","3","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1967-12","1967","12","-8.1","","-16.7","","-12.4","","6.1","","-37.8","","2.3","","23.4","","22.4","","13","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1968-01","1968","01","-11.8","","-22.3","","-17.1","","5.0","S","-39.4","","1.8","","21.6","","21.3","","18","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1968-02","1968","02","-7.4","","-18.6","","-13.0","","5.6","","-30.6","","0.3","","5.1","","2.8","","13","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1968-03","1968","03","3.9","","-7.5","","-1.8","","18.9","","-20.0","","1.3","","8.6","","8.1","","3","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1968-04","1968","04","11.5","","-4.1","","3.7","","28.3","","-11.7","","2.0","","2.5","","5.1","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1968-05","1968","05","15.7","","2.0","","8.9","","25.0","","-3.3","","42.7","","14.0","","54.1","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1968-06","1968","06","20.7","","7.1","","13.9","","30.6","","1.1","S","20.8","","0.0","","20.8","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1968-07","1968","07","25.3","","9.1","","17.2","","35.0","S","0.6","","45.7","","0.0","","45.7","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1968-08","1968","08","20.1","","8.3","","14.2","","27.8","","0.0","","108.0","","0.0","","108.0","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1968-09","1968","09","18.9","","5.2","","12.1","","30.0","S","-2.8","","30.2","","0.0","","30.2","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1968-10","1968","10","9.9","","-1.4","","4.3","","18.9","","-7.2","","27.4","","6.1","","36.3","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1968-11","1968","11","0.7","","-7.9","","-3.6","","9.4","","-16.7","","1.8","","14.7","","11.9","","0","T","","","",""
"-102.57","50.37","BROADVIEW","4010879","1968-12","1968","12","-11.9","","-22.4","","-17.2","","1.7","S","-36.7","","0.0","","26.7","","18.8","","18","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1969-01","1969","01","-18.8","","-29.9","","-24.4","","0.0","","-39.4","","0.0","T","41.9","","35.3","","28","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1969-02","1969","02","-8.9","","-19.9","","-14.4","","0.0","","-37.2","","0.0","T","21.8","","19.3","","33","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1969-03","1969","03","-4.7","","-17.3","","-11.0","","5.6","","-30.0","","0.0","","19.1","","15.7","","28","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1969-04","1969","04","11.6","","-0.3","","5.7","","21.1","","-11.1","","25.9","","0.5","","26.2","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1969-05","1969","05","16.7","","2.7","","9.7","","33.3","","-3.3","S","34.0","","0.3","","34.3","","0","","","","",""
