"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-102.57","50.37","BROADVIEW","4010879","1969-06","1969","06","18.4","","3.4","","10.9","","26.1","","-4.4","","78.2","","0.0","T","78.2","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1969-07","1969","07","23.1","","10.3","","16.7","","32.2","","5.6","","77.0","","0.0","","77.0","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1969-08","1969","08","27.6","","10.5","","19.1","","34.4","","1.7","","40.9","","0.0","","40.9","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1969-09","1969","09","18.8","","4.3","","11.6","","31.7","","-3.3","","35.1","","0.0","T","35.1","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1969-10","1969","10","4.4","","-3.7","","0.4","","15.0","","-13.9","S","21.8","","32.8","","49.8","","5","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1969-11","1969","11","1.8","","-8.3","","-3.3","","16.7","","-22.8","","0.0","T","7.4","","4.3","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1969-12","1969","12","-5.0","","-14.3","","-9.7","","8.3","","-25.6","","0.0","T","18.5","","10.9","","8","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1970-01","1970","01","-14.8","","-24.1","","-19.5","","0.6","","-39.4","","0.0","T","18.8","","13.5","","15","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1970-02","1970","02","-7.5","","-21.6","","-14.6","","2.2","","-37.2","","0.0","","28.7","","23.1","","8","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1970-03","1970","03","-5.9","","-17.9","","-11.9","","4.4","","-30.0","","0.0","T","25.7","","20.6","","10","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1970-04","1970","04","5.2","","-3.5","","0.9","","15.0","","-18.9","","7.1","","76.2","","83.6","","18","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1970-05","1970","05","13.6","","2.5","","8.1","","26.7","","-7.2","","38.6","","11.7","","50.3","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1970-06","1970","06","25.2","","10.9","","18.1","","33.3","","2.2","","25.7","","0.0","","25.7","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1970-07","1970","07","25.2","","12.1","","18.7","","32.2","","6.1","","89.9","","0.0","","89.9","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1970-08","1970","08","25.6","","8.3","","17.0","","33.9","","-1.1","","21.3","","0.0","","21.3","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1970-09","1970","09","17.4","","3.7","","10.6","","30.6","","-1.7","","44.2","","12.4","","56.6","","0","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1970-10","1970","10","9.0","","-2.0","","3.5","","24.4","","-10.0","S","26.2","","30.5","","60.2","","5","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1970-11","1970","11","-2.9","","-9.4","","-6.2","","6.7","","-24.4","","0.5","","11.2","","9.9","","5","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1970-12","1970","12","-11.3","","-23.3","","-17.3","","0.0","S","-37.2","","0.0","T","26.9","","20.1","","10","","","","",""
"-102.57","50.37","BROADVIEW","4010879","1971-01","1971","01","-17.0","","-26.4","","-21.7","","2.8","","-38.9","","0.5","","15.5","","11.9","","13","","","","<31",""
"-102.57","50.37","BROADVIEW","4010879","1971-02","1971","02","-6.2","","-17.6","","-11.9","","3.9","","-33.3","","0.5","","5.3","","5.1","","3","","","","<31",""
"-102.57","50.37","BROADVIEW","4010879","1971-03","1971","03","-1.9","","-11.9","","-6.9","","10.6","","-22.2","S","0.0","T","18.5","","17.8","","0","T","29","","56",""
"-102.57","50.37","BROADVIEW","4010879","1971-04","1971","04","9.7","","-2.9","","3.4","","23.3","","-15.6","","16.3","","5.3","","21.6","","0","","29","","76",""
"-102.57","50.37","BROADVIEW","4010879","1971-05","1971","05","19.1","","1.9","","10.5","","27.8","","-3.3","","4.1","","6.1","","10.2","","0","","29","","72",""
"-102.57","50.37","BROADVIEW","4010879","1971-06","1971","06","21.1","","9.1","","15.1","","29.4","","0.0","","113.8","","0.0","","113.8","","0","","27","","69",""
"-102.57","50.37","BROADVIEW","4010879","1971-07","1971","07","21.3","","9.3","","15.3","","29.4","","2.8","","60.5","","0.0","","60.5","","0","","29","","79",""
"-102.57","50.37","BROADVIEW","4010879","1971-08","1971","08","26.4","","10.1","","18.3","","35.0","","4.4","S","35.8","","0.0","","35.8","","0","","20","","79",""
"-102.57","50.37","BROADVIEW","4010879","1971-09","1971","09","17.8","","3.8","","10.8","","30.6","","-3.9","","26.7","","0.3","","26.9","","0","","27","","71","S"
"-102.57","50.37","BROADVIEW","4010879","1971-10","1971","10","9.7","","-1.4","","4.2","","23.3","","-13.3","","44.2","","13.0","","53.8","","3","","29","","77",""
"-102.57","50.37","BROADVIEW","4010879","1971-11","1971","11","-0.8","","-10.1","","-5.5","","11.7","","-23.9","","1.8","","18.8","","11.9","","3","","29","","69",""
"-102.57","50.37","BROADVIEW","4010879","1971-12","1971","12","-10.4","","-21.3","","-15.9","","0.6","","-34.4","","0.0","T","18.0","","10.7","","10","","29","","61",""
"-102.57","50.37","BROADVIEW","4010879","1972-01","1972","01","-15.4","","-27.7","","-21.6","","4.4","","-40.6","","0.0","","29.2","","17.0","","18","","29","","56",""
"-102.57","50.37","BROADVIEW","4010879","1972-02","1972","02","-14.1","","-25.0","","-19.6","","0.6","","-38.9","","0.0","","38.4","","21.6","","33","","23","","58",""
"-102.57","50.37","BROADVIEW","4010879","1972-03","1972","03","-2.9","","-13.1","","-8.0","","8.3","","-40.6","","5.1","","19.6","","20.8","","5","","34","","68",""
"-102.57","50.37","BROADVIEW","4010879","1972-04","1972","04","8.2","","-2.8","","2.7","","18.9","","-15.0","","7.1","","3.3","","10.4","","0","","29","","72",""
"-102.57","50.37","BROADVIEW","4010879","1972-05","1972","05","19.4","","4.5","","12.0","","29.4","","-5.0","","37.8","","2.0","","39.9","","0","","11","","60",""
"-102.57","50.37","BROADVIEW","4010879","1972-06","1972","06","23.5","","9.4","","16.5","","32.2","S","-0.6","","33.3","","0.0","","33.3","","0","","32","","69",""
"-102.57","50.37","BROADVIEW","4010879","1972-07","1972","07","21.9","","7.5","","14.7","","29.4","","0.6","","38.9","","0.0","","38.9","","0","","32","","74",""
"-102.57","50.37","BROADVIEW","4010879","1972-08","1972","08","25.7","","10.4","","18.1","","36.7","","3.9","","50.5","","0.0","","50.5","","0","","32","","64",""
"-102.57","50.37","BROADVIEW","4010879","1972-09","1972","09","14.4","","0.4","","7.4","","27.2","","-9.4","","7.4","","17.5","","18.5","","0","T","27","","92",""
"-102.57","50.37","BROADVIEW","4010879","1972-10","1972","10","7.7","","-5.0","","1.4","","21.7","","-18.3","","2.5","","8.1","","10.2","","5","","29","","76",""
"-102.57","50.37","BROADVIEW","4010879","1972-11","1972","11","-2.0","","-8.1","","-5.1","","4.4","","-20.6","","1.5","","14.5","","11.9","","8","","34","","50",""
"-102.57","50.37","BROADVIEW","4010879","1972-12","1972","12","-13.4","","-23.8","","-18.6","","3.9","","-34.4","S","0.8","","17.8","","14.0","","18","","16","","55",""
"-102.57","50.37","BROADVIEW","4010879","1973-01","1973","01","-5.9","","-16.2","","-11.1","","7.2","","-36.7","","0.3","","2.8","","0.8","","3","","29","","66",""
"-102.57","50.37","BROADVIEW","4010879","1973-02","1973","02","-6.4","","-18.7","","-12.6","","3.9","S","-32.8","","0.0","T","14.7","","9.9","","5","","34","","58",""
"-102.57","50.37","BROADVIEW","4010879","1973-03","1973","03","5.8","","-5.4","","0.2","","17.2","","-15.6","","2.8","","10.7","","11.9","","0","","16","","64",""
"-102.57","50.37","BROADVIEW","4010879","1973-04","1973","04","8.3","","-4.8","","1.8","","20.0","","-12.8","","18.0","","17.0","","33.3","","0","T","23","","58",""
"-102.57","50.37","BROADVIEW","4010879","1973-05","1973","05","17.3","","1.9","","9.6","","26.1","","-6.1","","32.3","","0.3","","32.5","","0","","14","","58",""
"-102.57","50.37","BROADVIEW","4010879","1973-06","1973","06","21.4","","9.1","","15.3","","30.0","","3.3","","121.2","","0.0","","121.2","","0","","32","","79",""
"-102.57","50.37","BROADVIEW","4010879","1973-07","1973","07","24.3","","9.8","","17.1","","30.0","","1.7","","49.0","","0.0","","49.0","","0","","29","","95",""
"-102.57","50.37","BROADVIEW","4010879","1973-08","1973","08","26.9","","10.6","","18.8","","32.8","","3.9","","31.5","","0.0","","31.5","","0","","25","","68",""
"-102.57","50.37","BROADVIEW","4010879","1973-09","1973","09","16.7","","3.9","","10.3","","26.1","","-5.0","","114.6","","0.0","","114.6","","0","","32","","61","S"
"-102.57","50.37","BROADVIEW","4010879","1973-10","1973","10","12.8","","0.1","","6.5","","21.7","","-6.7","S","1.5","","2.5","","3.8","","0","T","29","","68",""
"-102.57","50.37","BROADVIEW","4010879","1973-11","1973","11","-5.9","","-15.7","","-10.8","","3.9","","-24.4","","0.0","T","27.2","","18.5","","8","","29","","60",""
"-102.57","50.37","BROADVIEW","4010879","1973-12","1973","12","-11.0","","-19.4","","-15.2","","2.8","S","-37.2","","2.0","","36.3","","27.7","","23","","34","","74",""
"-102.57","50.37","BROADVIEW","4010879","1974-01","1974","01","-16.2","","-27.3","","-21.8","","2.8","","-40.0","","0.0","T","37.8","","25.4","","38","","32","","58",""
"-102.57","50.37","BROADVIEW","4010879","1974-02","1974","02","-7.8","","-20.3","","-14.1","","1.7","","-37.2","","0.3","","18.0","","9.9","","36","","36","","71",""
"-102.57","50.37","BROADVIEW","4010879","1974-03","1974","03","-5.4","","-17.3","","-11.4","","5.0","","-33.3","","1.0","","24.9","","21.3","","33","","29","","61","S"
"-102.57","50.37","BROADVIEW","4010879","1974-04","1974","04","7.7","","-4.9","","1.4","","26.1","","-20.6","","19.6","","12.2","","28.2","","0","","16","","56",""
"-102.57","50.37","BROADVIEW","4010879","1974-05","1974","05","11.7","","2.2","","7.0","","20.6","","-3.9","","86.1","","2.3","","88.4","","0","","16","","68",""
"-102.57","50.37","BROADVIEW","4010879","1974-06","1974","06","23.4","","8.8","","16.1","","33.9","","3.3","","29.5","","0.0","","29.5","","0","","16","","72",""
"-102.57","50.37","BROADVIEW","4010879","1974-07","1974","07","27.2","","11.6","","19.4","","35.0","","5.6","","23.1","","0.0","","23.1","","0","","27","","61","S"
"-102.57","50.37","BROADVIEW","4010879","1974-08","1974","08","20.6","","8.1","","14.4","","32.2","","1.7","","106.9","","0.0","","106.9","","0","","29","","66",""
"-102.57","50.37","BROADVIEW","4010879","1974-09","1974","09","15.3","","2.4","","8.9","","25.0","","-7.8","","23.1","","2.0","","25.1","","0","","32","","63",""
"-102.57","50.37","BROADVIEW","4010879","1974-10","1974","10","13.9","","-1.7","","6.1","","25.0","","-13.9","","7.9","","6.6","","13.7","","0","","20","","58",""
"-102.57","50.37","BROADVIEW","4010879","1974-11","1974","11","2.4","","-8.9","","-3.3","","13.3","S","-21.7","","0.5","","1.5","","1.5","","0","","29","","69",""
"-102.57","50.37","BROADVIEW","4010879","1974-12","1974","12","-2.9","","-12.8","","-7.9","","6.1","","-23.3","","0.5","","25.9","","19.6","","13","","29","","63",""
"-102.57","50.37","BROADVIEW","4010879","1975-01","1975","01","-8.7","","-20.4","","-14.6","","1.7","","-33.3","","2.3","","19.6","","17.0","","15","","32","","82",""
"-102.57","50.37","BROADVIEW","4010879","1975-02","1975","02","-11.1","","-21.0","","-16.1","","2.2","","-35.6","","0.0","","21.8","","13.7","","20","","32","","64",""
"-102.57","50.37","BROADVIEW","4010879","1975-03","1975","03","-5.6","","-17.1","","-11.4","","6.1","","-32.8","","0.0","T","33.5","","22.4","","23","","36","","69",""
"-102.57","50.37","BROADVIEW","4010879","1975-04","1975","04","3.2","","-4.3","","-0.6","","13.9","","-24.4","","59.7","","47.5","","98.6","","3","","11","","71",""
"-102.57","50.37","BROADVIEW","4010879","1975-05","1975","05","16.0","","4.1","","10.1","","24.4","S","-1.1","","14.7","","0.0","T","14.7","","0","","16","","72","S"
"-102.57","50.37","BROADVIEW","4010879","1975-06","1975","06","20.8","","8.7","","14.8","","29.4","","1.7","S","77.0","","0.0","","77.0","","0","","27","","71",""
"-102.57","50.37","BROADVIEW","4010879","1975-07","1975","07","28.2","","12.4","","20.3","","38.3","","5.6","S","11.9","","0.0","","11.9","","0","","25","","61",""
"-102.57","50.37","BROADVIEW","4010879","1975-08","1975","08","21.3","","8.9","","15.1","","32.8","","-0.6","","108.2","","0.0","","108.2","","0","","29","","74",""
"-102.57","50.37","BROADVIEW","4010879","1975-09","1975","09","16.0","","4.6","","10.3","","26.7","S","-3.9","","102.6","","0.0","T","102.6","","0","","34","","79",""
"-102.57","50.37","BROADVIEW","4010879","1975-10","1975","10","10.8","","-0.8","","5.0","","24.4","","-11.1","","3.3","","5.6","","7.1","","0","","29","","77",""
"-102.57","50.37","BROADVIEW","4010879","1975-11","1975","11","1.9","","-9.7","","-3.9","","22.2","","-28.3","","0.0","","19.6","","11.9","","10","","29","","60",""
"-102.57","50.37","BROADVIEW","4010879","1975-12","1975","12","-6.6","","-18.6","","-12.6","","6.1","","-33.3","S","1.3","","32.3","","25.9","","15","","32","","64",""
"-102.57","50.37","BROADVIEW","4010879","1976-01","1976","01","-9.4","","-20.3","","-14.9","","2.8","","-37.2","","0.0","T","41.4","","32.8","","20","","34","","71",""
"-102.57","50.37","BROADVIEW","4010879","1976-02","1976","02","-4.2","","-16.6","","-10.4","","6.1","","-33.3","","0.0","T","25.1","","22.4","","25","","36","","72",""
"-102.57","50.37","BROADVIEW","4010879","1976-03","1976","03","-3.8","","-15.9","","-9.9","","7.2","","-35.0","","8.1","","25.4","","29.7","","23","","2","","64",""
"-102.57","50.37","BROADVIEW","4010879","1976-04","1976","04","10.7","","-1.0","","4.9","","20.0","","-9.4","","19.3","","7.9","","26.9","","0","","5","","64",""
"-102.57","50.37","BROADVIEW","4010879","1976-05","1976","05","19.3","","4.7","","12.0","","26.7","","-5.6","","20.6","","0.3","","20.8","","0","","2","","77",""
"-102.57","50.37","BROADVIEW","4010879","1976-06","1976","06","21.1","","10.7","","15.9","","28.9","","5.0","S","128.8","","0.0","","128.8","","0","","20","","89",""
"-102.57","50.37","BROADVIEW","4010879","1976-07","1976","07","24.9","","11.1","","18.0","","30.0","","5.0","","27.7","","0.0","","27.7","","0","","29","","51","S"
"-102.57","50.37","BROADVIEW","4010879","1976-08","1976","08","25.3","","9.8","","17.6","","35.6","","2.8","","26.9","","0.0","","26.9","","0","","29","","76",""
"-102.57","50.37","BROADVIEW","4010879","1976-09","1976","09","21.3","","2.9","","12.1","","36.1","","-6.7","","3.0","","0.0","","3.0","","0","","29","","84",""
"-102.57","50.37","BROADVIEW","4010879","1976-10","1976","10","8.8","","-5.7","","1.6","","23.9","","-17.8","","4.8","","1.3","","6.1","","0","","29","","89",""
"-102.57","50.37","BROADVIEW","4010879","1976-11","1976","11","0.3","","-12.1","","-5.9","","12.8","","-25.0","","0.0","","3.3","","2.0","","0","T","32","","76",""
"-102.57","50.37","BROADVIEW","4010879","1976-12","1976","12","-7.4","","-21.2","","-14.3","","3.9","","-36.1","","0.0","T","36.6","","31.2","","15","","29","","61",""
"-102.57","50.37","BROADVIEW","4010879","1977-01","1977","01","-15.2","","-26.6","","-20.9","","-0.3","","-38.4","","0.0","T","5.7","","4.9","","12","","1","","69",""
"-102.57","50.37","BROADVIEW","4010879","1977-02","1977","02","-2.3","","-12.9","","-7.6","","4.8","","-24.3","","0.0","T","8.5","","7.6","","6","","30","","57",""
"-102.57","50.37","BROADVIEW","4010879","1977-03","1977","03","2.8","","-9.0","","-3.1","","12.2","","-21.3","","0.0","T","10.2","","7.7","","0","","12","S","59","S"
"-102.57","50.37","BROADVIEW","4010879","1977-04","1977","04","15.4","","-0.9","","7.3","","27.6","","-10.8","","12.9","","3.6","","15.5","","0","","29","","78",""
"-102.57","50.37","BROADVIEW","4010879","1977-05","1977","05","21.9","","7.8","","14.9","","31.1","","-4.7","","110.7","","0.0","","110.7","","0","","17","","72",""
"-102.57","50.37","BROADVIEW","4010879","1977-06","1977","06","21.9","","9.0","","15.5","","32.1","","3.8","","84.1","","0.0","","84.1","","0","","32","","63",""
"-102.57","50.37","BROADVIEW","4010879","1977-07","1977","07","23.8","","10.7","","17.3","","31.2","","4.2","","74.9","","0.0","","74.9","","0","","14","","56",""
"-102.57","50.37","BROADVIEW","4010879","1977-08","1977","08","20.1","","5.5","","12.8","","26.4","","-1.0","","31.0","","0.0","","31.0","","0","","26","","67",""
"-102.57","50.37","BROADVIEW","4010879","1977-09","1977","09","15.8","","5.3","","10.6","","27.8","","-0.5","","69.1","","0.0","","69.1","","0","","26","","74",""
"-102.57","50.37","BROADVIEW","4010879","1977-10","1977","10","13.0","","-0.2","","6.4","","22.4","","-9.1","","9.3","","0.9","","10.6","","0","","26","","70",""
"-102.57","50.37","BROADVIEW","4010879","1977-11","1977","11","-0.7","","-10.6","","-5.7","","11.3","","-27.9","","0.8","","13.0","","15.2","","6","","26","","87",""
"-102.57","50.37","BROADVIEW","4010879","1977-12","1977","12","-14.5","","-23.1","","-18.8","","-2.0","","-39.6","","0.0","T","39.8","","33.4","","25","","13","","54",""
"-102.57","50.37","BROADVIEW","4010879","1978-01","1978","01","-17.4","","-28.2","","-22.8","","-1.2","","-43.6","","0.0","","11.0","","7.5","","28","","28","S","59","S"
"-102.57","50.37","BROADVIEW","4010879","1978-02","1978","02","-11.5","","-23.4","","-17.5","","0.4","","-35.0","","0.0","T","6.5","","4.8","","30","","14","","63",""
"-102.57","50.37","BROADVIEW","4010879","1978-03","1978","03","-1.3","","-12.1","","-6.7","","11.9","","-30.0","","1.6","","7.9","","7.4","","0","T","32","","65",""
"-102.57","50.37","BROADVIEW","4010879","1978-04","1978","04","9.0","","-1.8","","3.6","","21.7","","-9.2","","19.4","","7.7","","26.8","","0","","33","","67",""
